薬品名,ブランド名,薬品タイプ,用法・用量,価格,副作用,適応症,警告
アスピリン,アスピリンプラス,鎮痛剤,水と1錠を100-150時間ごとに服用,$10,頭痛,軽い痛み,推奨用量を超えないでください
イブプロフェン,イブファスト,非ステロイド性抗炎症薬（NSAID）,食事と一緒に1錠を服用,$15,胃もたれ,炎症,胃潰瘍の経歴がある人には適していません
パラセタモール,パラリリーフ,鎮痛薬/解熱剤,4-6時間ごとに2錠服用,$8,アレルギー反応,発熱と痛みの緩和,アルコールの摂取を避けてください
シプロフロキサシン,シプログアード,抗生物質,食事と一緒に1錠を1日2回服用,$25,吐き気,感染症,薬の完全なコースを終了してください
リシノプリル,リシノックス,降圧薬,朝に1錠を1日1回服用,$20,めまい,高血圧,妊娠中または妊娠を計画している場合は医師に相談してください
オメプラゾール,オメジット,プロトンポンプ阻害薬,食事の前に1カプセルを服用,$30,腹痛,酸逆流,医師の監督なしでの長期使用は推奨されません
アトルバスタチン,アトールリップ,スタチン,就寝時に1錠を食事と一緒に,$35,筋肉痛,高コレステロール,肝臓の問題がある場合は医療提供者に通知してください
ジアゼパム,リラクサ,鎮静薬/抗不安薬,不安のために必要に応じて1錠服用,$18,眠気,不安障害,この薬を服用中はアルコールと運転を避けてください
メトホルミン,グルコメット,経口抗糖尿病薬,食事と一緒に1錠を服用,$22,吐き気,2型糖尿病,定期的な血糖モニタリングを維持してください
ラニチジン,ザンタック,胃酸抑制薬,食事の30分前に1錠を服用,$12,便秘,胸やけ,腎臓の問題がある場合は避けてください
アムロジピン,ノロカード,カルシウムチャネルブロッカー,朝食と一緒に1錠を1日1回服用,$27,足首の腫れ,高血圧,グレープフルーツ製品を避けてください
ワルファリン,クマガード,抗凝固薬,毎日同じ時間に1錠を服用,$40,出血障害,血栓の予防,食事の急激な変更を避けてください
シムバスタチン,シムバリピッド,HMG-CoA還元酵素阻害薬,夕食後に1錠を食事と一緒に,$32,関節痛,高コレステロール,筋肉の痛みや弱さがある場合は医療提供者に通知してください
レボチロキシン,サイロリフト,甲状腺ホルモン,朝食前に空腹の胃に1錠を,$15,不眠症,低甲状腺症,定期的な甲状腺機能のモニタリングを行ってください
セチリジン,セチリリーフ,第二世代抗ヒスタミン薬,1錠を毎日服用,$10,口の渇き,アレルギー性鼻炎,この薬を服用中はアルコールと鎮静剤を避けてください
アモキシシリン,アモキガード,抗生物質,食事と一緒に8時間ごとに1カプセルを服用,$18,下痢,細菌感染症,薬の完全なコースを終了してください
フルオキセチン,プロザムード,選択的セロトニン再取り込み阻害薬（SSRI）,朝に1カプセルを服用,$22,不眠症,うつ病,急激な中止を避けてください